MetaMessage('track_name', name='Bass', time=0)
note_on channel=0 note=43 velocity=80 time=328
note_off channel=0 note=43 velocity=64 time=204
note_on channel=0 note=45 velocity=76 time=36
note_off channel=0 note=45 velocity=64 time=152
note_on channel=0 note=45 velocity=78 time=88
note_off channel=0 note=45 velocity=64 time=128
note_on channel=0 note=43 velocity=75 time=352
note_off channel=0 note=43 velocity=64 time=218
note_on channel=0 note=45 velocity=76 time=22
note_off channel=0 note=45 velocity=64 time=152
note_on channel=0 note=45 velocity=76 time=88
note_off channel=0 note=45 velocity=64 time=150
note_on channel=0 note=48 velocity=70 time=330
note_on channel=0 note=50 velocity=69 time=720
note_off channel=0 note=48 velocity=64 time=8
note_off channel=0 note=50 velocity=64 time=172
note_on channel=0 note=45 velocity=79 time=300
note_off channel=0 note=45 velocity=64 time=140
note_on channel=0 note=45 velocity=78 time=100
note_off channel=0 note=45 velocity=64 time=140
note_on channel=0 note=43 velocity=74 time=340
note_off channel=0 note=43 velocity=64 time=232
note_on channel=0 note=45 velocity=75 time=8
note_off channel=0 note=45 velocity=64 time=176
note_on channel=0 note=45 velocity=78 time=64
note_off channel=0 note=45 velocity=64 time=152
aftertouch channel=0 value=4 time=291
note_on channel=0 note=43 velocity=74 time=37
note_off channel=0 note=43 velocity=64 time=216
note_on channel=0 note=45 velocity=75 time=24
note_off channel=0 note=45 velocity=64 time=164
note_on channel=0 note=45 velocity=73 time=76
note_off channel=0 note=45 velocity=64 time=216
note_on channel=0 note=48 velocity=74 time=24
note_on channel=0 note=45 velocity=76 time=240
note_off channel=0 note=48 velocity=64 time=16
note_off channel=0 note=45 velocity=64 time=752
note_on channel=0 note=45 velocity=78 time=15792
note_off channel=0 note=45 velocity=64 time=256
note_on channel=0 note=48 velocity=81 time=464
note_on channel=0 note=50 velocity=79 time=240
note_off channel=0 note=48 velocity=64 time=4
note_on channel=0 note=52 velocity=68 time=236
note_off channel=0 note=50 velocity=64 time=16
note_off channel=0 note=52 velocity=64 time=110
note_on channel=0 note=45 velocity=82 time=354
note_off channel=0 note=45 velocity=64 time=702
note_on channel=0 note=43 velocity=62 time=18
note_off channel=0 note=43 velocity=64 time=458
note_on channel=0 note=45 velocity=80 time=22
note_off channel=0 note=45 velocity=64 time=268
note_on channel=0 note=45 velocity=88 time=692
note_off channel=0 note=45 velocity=64 time=152
note_on channel=0 note=48 velocity=77 time=568
note_off channel=0 note=48 velocity=64 time=152
note_on channel=0 note=50 velocity=90 time=88
note_on channel=0 note=52 velocity=75 time=240
note_off channel=0 note=50 velocity=64 time=2
note_off channel=0 note=52 velocity=64 time=190
note_on channel=0 note=45 velocity=75 time=288
note_on channel=0 note=48 velocity=77 time=720
note_off channel=0 note=45 velocity=64 time=8
note_off channel=0 note=48 velocity=64 time=450
note_on channel=0 note=45 velocity=78 time=22
note_off channel=0 note=45 velocity=64 time=178
note_on channel=0 note=45 velocity=80 time=782
note_off channel=0 note=45 velocity=64 time=164
note_on channel=0 note=45 velocity=78 time=76
note_off channel=0 note=45 velocity=64 time=152
note_on channel=0 note=43 velocity=80 time=328
note_off channel=0 note=43 velocity=64 time=204
note_on channel=0 note=45 velocity=76 time=36
note_off channel=0 note=45 velocity=64 time=152
note_on channel=0 note=45 velocity=78 time=88
note_off channel=0 note=45 velocity=64 time=128
note_on channel=0 note=43 velocity=75 time=352
note_off channel=0 note=43 velocity=64 time=218
note_on channel=0 note=45 velocity=76 time=22
note_off channel=0 note=45 velocity=64 time=152
note_on channel=0 note=45 velocity=76 time=88
note_off channel=0 note=45 velocity=64 time=150
note_on channel=0 note=48 velocity=70 time=330
note_on channel=0 note=50 velocity=69 time=720
note_off channel=0 note=48 velocity=64 time=8
note_off channel=0 note=50 velocity=64 time=172
note_on channel=0 note=45 velocity=79 time=300
note_off channel=0 note=45 velocity=64 time=140
note_on channel=0 note=45 velocity=78 time=100
note_off channel=0 note=45 velocity=64 time=140
note_on channel=0 note=43 velocity=74 time=340
note_off channel=0 note=43 velocity=64 time=232
note_on channel=0 note=45 velocity=75 time=8
note_off channel=0 note=45 velocity=64 time=176
note_on channel=0 note=45 velocity=78 time=64
note_off channel=0 note=45 velocity=64 time=152
aftertouch channel=0 value=4 time=291
note_on channel=0 note=43 velocity=74 time=37
note_off channel=0 note=43 velocity=64 time=216
note_on channel=0 note=45 velocity=75 time=24
note_off channel=0 note=45 velocity=64 time=164
note_on channel=0 note=45 velocity=73 time=76
note_off channel=0 note=45 velocity=64 time=216
note_on channel=0 note=48 velocity=74 time=24
note_on channel=0 note=45 velocity=76 time=240
note_off channel=0 note=48 velocity=64 time=16
note_off channel=0 note=45 velocity=64 time=752
note_on channel=0 note=50 velocity=109 time=432
note_on channel=0 note=50 velocity=0 time=117
note_on channel=0 note=50 velocity=114 time=123
note_on channel=0 note=48 velocity=114 time=480
note_on channel=0 note=50 velocity=0 time=24
note_on channel=0 note=48 velocity=0 time=174
note_on channel=0 note=50 velocity=109 time=42
note_on channel=0 note=50 velocity=0 time=103
note_on channel=0 note=50 velocity=109 time=137
note_on channel=0 note=50 velocity=0 time=478
note_on channel=0 note=48 velocity=120 time=2
note_on channel=0 note=48 velocity=0 time=211
note_on channel=0 note=45 velocity=114 time=29
note_on channel=0 note=45 velocity=0 time=111
note_on channel=0 note=45 velocity=104 time=129
note_on channel=0 note=43 velocity=120 time=480
note_on channel=0 note=45 velocity=0 time=26
note_on channel=0 note=43 velocity=0 time=142
note_on channel=0 note=45 velocity=114 time=72
note_on channel=0 note=45 velocity=0 time=120
note_on channel=0 note=45 velocity=104 time=120
note_on channel=0 note=45 velocity=0 time=221
note_on channel=0 note=43 velocity=104 time=19
note_on channel=0 note=43 velocity=0 time=223
note_on channel=0 note=43 velocity=66 time=17
